"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"5001600US4503","Congressional District 3 (116th Congress), South Carolina","693354","2251"
"5001600US4504","Congressional District 4 (116th Congress), South Carolina","727293","2528"
"5001600US4505","Congressional District 5 (116th Congress), South Carolina","717411","1829"
"5001600US4506","Congressional District 6 (116th Congress), South Carolina","662643","4654"
"5001600US4507","Congressional District 7 (116th Congress), South Carolina","719968","797"
"5001600US4600","Congressional District (at Large) (116th Congress), South Dakota","870638","*****"
"5001600US4701","Congressional District 1 (116th Congress), Tennessee","716773","601"
"5001600US4702","Congressional District 2 (116th Congress), Tennessee","746435","857"
"5001600US4703","Congressional District 3 (116th Congress), Tennessee","730736","1090"
"5001600US4704","Congressional District 4 (116th Congress), Tennessee","784717","1548"
"5001600US4705","Congressional District 5 (116th Congress), Tennessee","769198","584"
"5001600US4706","Congressional District 6 (116th Congress), Tennessee","773038","561"
"5001600US4707","Congressional District 7 (116th Congress), Tennessee","776612","1071"
"5001600US4708","Congressional District 8 (116th Congress), Tennessee","708466","2639"
"5001600US4709","Congressional District 9 (116th Congress), Tennessee","703381","2651"
"5001600US4801","Congressional District 1 (116th Congress), Texas","719958","1214"
"5001600US4802","Congressional District 2 (116th Congress), Texas","794851","6986"
"5001600US4803","Congressional District 3 (116th Congress), Texas","867470","1659"
"5001600US4804","Congressional District 4 (116th Congress), Texas","751164","1785"
"5001600US4805","Congressional District 5 (116th Congress), Texas","751567","3128"
"5001600US4806","Congressional District 6 (116th Congress), Texas","785330","3764"
"5001600US4807","Congressional District 7 (116th Congress), Texas","787830","7612"
"5001600US4808","Congressional District 8 (116th Congress), Texas","858427","4080"
"5001600US4809","Congressional District 9 (116th Congress), Texas","782123","8110"
"5001600US4810","Congressional District 10 (116th Congress), Texas","875936","8224"
"5001600US4811","Congressional District 11 (116th Congress), Texas","772210","1287"
"5001600US4812","Congressional District 12 (116th Congress), Texas","811608","4824"
"5001600US4813","Congressional District 13 (116th Congress), Texas","710097","945"
"5001600US4814","Congressional District 14 (116th Congress), Texas","751606","3377"
"5001600US4815","Congressional District 15 (116th Congress), Texas","786367","4323"
"5001600US4816","Congressional District 16 (116th Congress), Texas","737398","1867"
"5001600US4817","Congressional District 17 (116th Congress), Texas","771317","3546"
"5001600US4818","Congressional District 18 (116th Congress), Texas","778625","7577"
"5001600US4819","Congressional District 19 (116th Congress), Texas","727765","525"
"5001600US4820","Congressional District 20 (116th Congress), Texas","809092","4982"
"5001600US4821","Congressional District 21 (116th Congress), Texas","810719","4915"
"5001600US4822","Congressional District 22 (116th Congress), Texas","911440","6090"
"5001600US4823","Congressional District 23 (116th Congress), Texas","769173","4065"
"5001600US4824","Congressional District 24 (116th Congress), Texas","802353","3447"
"5001600US4825","Congressional District 25 (116th Congress), Texas","783085","4549"
"5001600US4826","Congressional District 26 (116th Congress), Texas","874507","4308"
"5001600US4827","Congressional District 27 (116th Congress), Texas","740124","2022"
"5001600US4828","Congressional District 28 (116th Congress), Texas","750087","4324"
"5001600US4829","Congressional District 29 (116th Congress), Texas","745825","5686"
"5001600US4830","Congressional District 30 (116th Congress), Texas","782114","4427"
"5001600US4831","Congressional District 31 (116th Congress), Texas","856506","2179"
